epoch,auc,vid_acc,avg_ranking_loss,avg_sparsity_loss,avg_smoothness_loss,avg_total_loss,avg_anom_score,avg_norm_score,lr,epoch_time_sec,timestamp
38,0.7823715405428872,0.8,0.013296738832811766,0.3604611826093891,0.007966051553081296,0.013477048869206072,0.8689249410659452,0.10402242894744194,1.5e-05,11.409800052642822,2026-02-22T18:24:52.583645
39,0.791421402547249,0.8,0.00022930585885349707,0.3280467382526096,0.0077198089772387395,0.00039340643568813234,0.8843756966953036,0.09437635232093214,1.5e-05,11.529799461364746,2026-02-22T18:25:04.162735
40,0.7894473984644471,0.7724137931034483,0.009894986695881132,0.43343944979619375,0.008689575619358994,0.010111793165413451,0.8962966671472863,0.14612336693732422,1.5e-05,11.549995183944702,2026-02-22T18:25:15.762148
41,0.7946822139123518,0.8,0.003984964346583885,0.3124150191964228,0.007374300865332678,0.004141245713221503,0.8426866765263714,0.07346349813138382,1.5e-05,11.555140018463135,2026-02-22T18:25:27.367058
42,0.7952976920098168,0.7862068965517242,0.0019811263567284694,0.3037780877910083,0.007859767995232457,0.002133094106203673,0.8575739845444884,0.0688335282280098,7.5e-06,11.119171380996704,2026-02-22T18:25:38.535697
43,0.7942436164743069,0.7862068965517242,0.001328676561766033,0.43890888460829286,0.008938019420315005,0.0015482203787173545,0.9127645666086222,0.12555051492998684,7.5e-06,11.233125925064087,2026-02-22T18:25:49.819026
44,0.7926331226734256,0.8068965517241379,0.004233533068548275,0.4665416763930381,0.00902120137433934,0.004466894076830602,0.9350056950050064,0.17040768710754906,7.5e-06,11.70667052268982,2026-02-22T18:26:01.575937
45,0.7892013369643913,0.7862068965517242,0.011286548421352724,0.40031196214730225,0.008861833069284883,0.011486793009035991,0.8979952523979959,0.11685156676022312,7.5e-06,11.451288223266602,2026-02-22T18:26:13.076854
46,0.7943961102022109,0.7793103448275862,0.0005656790129746063,0.43346578448633605,0.008945532779716239,0.0007825013395815888,0.9324383758291414,0.14260821303211246,7.5e-06,11.722203493118286,2026-02-22T18:26:24.848651
47,0.7939788412268842,0.7931034482758621,0.00115587137922456,0.3500707377267035,0.008357456908856012,0.0013309903508711672,0.8896902626073813,0.09503244507256188,7.5e-06,11.680732727050781,2026-02-22T18:26:36.578804
48,0.7942329304840225,0.7827586206896552,0.002504733544361742,0.3926516660029375,0.00873274057278339,0.002701146800098263,0.905716121951236,0.103373526306705,7.5e-06,11.624620914459229,2026-02-22T18:26:48.252877
49,0.7953349150992793,0.7862068965517242,0.004151959962482694,0.392297522742537,0.008617858729572802,0.004348194973927899,0.9170870969567118,0.10758281304630675,7.5e-06,11.69693922996521,2026-02-22T18:26:59.999828
50,0.7943968450750669,0.7931034482758621,0.0003454971917067902,0.328320244162143,0.00835958712062315,0.0005097409424407384,0.8778185346458531,0.07456961453338212,7.5e-06,11.703640699386597,2026-02-22T18:27:11.752971
51,0.7937864783956137,0.7896551724137931,0.001207265672804434,0.3789344618592081,0.008722207564978471,0.0013968201378644798,0.9091166408756112,0.08228178906454882,7.5e-06,11.614641189575195,2026-02-22T18:27:23.417454
52,0.7944020919772227,0.7965517241379311,0.0002456322500977335,0.375972540695456,0.008681051682126767,0.00043370533175324385,0.9082985603356664,0.09488931924835602,7.5e-06,11.96203875541687,2026-02-22T18:27:35.429045
53,0.7944091115350513,0.7965517241379311,0.0,0.36388450012176854,0.008645699957762903,0.000182028716452909,0.9060884608498102,0.08385230844863985,7.5e-06,11.699275732040405,2026-02-22T18:27:47.177932
54,0.793165134606466,0.7862068965517242,0.000316080413287199,0.3813552841355529,0.00899679692980798,0.0005068480205881303,0.9062746687780453,0.09863102954187536,7.5e-06,11.67443037033081,2026-02-22T18:27:58.902245
55,0.7955207243138394,0.7965517241379311,0.00014559453046774563,0.46223676808272735,0.009297361455952065,0.0003768059037680313,0.9398259422447108,0.13270188264454466,7.5e-06,11.899921178817749,2026-02-22T18:28:10.852044
56,0.7956164276762456,0.8103448275862069,0.0009966364389733422,0.41550787340236617,0.009321861134111127,0.0012044836027448986,0.9216921736922445,0.1120361998865876,7.5e-06,11.53864073753357,2026-02-22T18:28:22.439949
57,0.7958921693146803,0.803448275862069,0.0,0.3869219301622125,0.008949118330367382,0.0001935504668479184,0.9158715749088722,0.08354262401102276,7.5e-06,11.576107501983643,2026-02-22T18:28:34.066435
58,0.7962040149049623,0.8137931034482758,0.004823605471019504,0.4035142465860029,0.009380505943399724,0.005025455986147399,0.9162733079511908,0.11363625967038112,3.75e-06,11.543851613998413,2026-02-22T18:28:45.660512
59,0.7934700093017368,0.8068965517241379,0.002502690387677543,0.3768548243973829,0.009092216325416878,0.0026912086381159924,0.9007918487621259,0.08622896918567204,3.75e-06,11.782414436340332,2026-02-22T18:28:57.492775
60,0.7934286271491817,0.8,3.2184999200362196e-05,0.4287470462201517,0.009384190251084067,0.0002466523748140228,0.9276991139484357,0.10668190811242012,3.75e-06,10.971796989440918,2026-02-22T18:29:08.514787
61,0.7934514833456834,0.8,0.0,0.43149973546402365,0.00936909579919486,0.00021584356561762905,0.9288960665087157,0.0990569465263169,3.75e-06,11.631205081939697,2026-02-22T18:29:20.195635
62,0.7922786290542133,0.8206896551724138,0.0013215473935573915,0.43257309138020383,0.009409690661874564,0.001537928042367478,0.9247796618485753,0.09948762949214235,3.75e-06,11.815312385559082,2026-02-22T18:29:32.060630
63,0.793419552819963,0.8172413793103448,0.000613529470902455,0.4050966239050974,0.009295616836782214,0.0008161707396826801,0.9211171193967892,0.09266846530328068,3.75e-06,11.675463676452637,2026-02-22T18:29:43.786202
64,0.7934690050683953,0.803448275862069,0.00017861852163000952,0.33427571891983854,0.008855911021863547,0.0003458449507980973,0.879782999618144,0.0763601612924492,3.75e-06,11.511389255523682,2026-02-22T18:29:55.347484
65,0.7934782293519791,0.803448275862069,0.0,0.3197568286257454,0.008639708046412354,0.00015996481891341295,0.8789135345929786,0.07176715432949175,3.75e-06,11.528222560882568,2026-02-22T18:30:06.925400
